university_id,name,email,role,password
26s3614,"Amina Al-Riyami",26s3614@utas.edu.om,Student,CQaXFLPEqKsa
26j3729,"Omar Al-Balushi",26j3729@utas.edu.om,Student,ZGsPBaO5JZQ8
26s3846,"Noor Al-Harthi",26s3846@utas.edu.om,Student,DoTtrNfWYMOB
26j3952,"Yahya Al-Amri",26j3952@utas.edu.om,Student,8HUqg5ElD09Z
26s4078,"Maha Al-Kindi",26s4078@utas.edu.om,Student,X5klDo1qka8M
26j4185,"Hamza Al-Farsi",26j4185@utas.edu.om,Student,1oZvzj1mfIBc
26s4297,"Shatha Al-Mahrouqi",26s4297@utas.edu.om,Student,WmyCnvpkbOMH
26j4363,"Majid Al-Siyabi",26j4363@utas.edu.om,Student,K3PyhJN4r0cc
26s4489,"Layan Al-Rawahi",26s4489@utas.edu.om,Student,KrxhobxQ3Ymu
e9173,"Ibrahim Al-Mandhari",ibrahim.al-mandhari@utas.edu.om,Reviewer/Supervisor,S8KB89nXnydj
e6248,"Shamsa Al-Hasani",shamsa.al-hasani@utas.edu.om,Reviewer/Supervisor,ULqhwr0UBFA7
e3706,"Hilal Al-Abri",hilal.al-abri@utas.edu.om,Reviewer/Supervisor,rqUlKGYUi6Tv
e8521,"Rana Al-Zadjali",rana.al-zadjali@utas.edu.om,Reviewer/Supervisor,IAVBCraTBymJ
e4965,"Bilal Al-Nabhani",bilal.al-nabhani@utas.edu.om,Reviewer/Supervisor,hDyjdGtT3aC6
